location,title,author,
,A Companion to Michael Haneke,Roy Grundmann,
,Das Augenspiel - Lebensgeschichte 1931-1937,ELIAS CANETTI,
,Die Blendung - Roman,ELIAS CANETTI,
,Dramen - Hochzeit Komödie der Eitelkeit Die Befristeten,ELIAS CANETTI,
,Die Frackel im Ohr - Lebensgeschichte 1921 - 1931,ELIAS CANETTI,
,Die Fliegenpein - Aufzeichnungen,ELIAS CANETTI,
,Das Geheimherz dr Uhr - Aufzeichnungen 1973 - 1985,ELIAS CANETTI,
,Die gerettete Zunge - Geschichte einer Jugend,ELIAS CANETTI,
,Das Gewissen der Worte - Essays,ELIAS CANETTI,
,Masse und Macht ,ELIAS CANETTI,
,Nachträge aus Hampstead - Aufzeichnungen,ELIAS CANETTI,
,Der Ohrenzeuge - Fünfzig Charaktere,ELIAS CANETTI,
,Die Provinz des Menschen - Aufzeichnungen 1942 - 1972,ELIAS CANETTI,
,Die Stimmen von Marrakesch - Aufzeichnungen nach einer Reise,ELIAS CANETTI,
,Wortmasken - Texte zu Leben und Werk von Elias Canette,Ortrun Huber,
,Great Dialogues of Plato,W.H.D. Rouse,
,Grundgesetz,Nundeszentrale für politische Bildung,
,Grundprobleme der großen Philosophen - Philosophie der Neuzeit II,Josef Speck,
,Grundlagen der deutschen Geshichtsforshung,Walter Steller,
,Deutschlands Schicksal 1945-1957,"Hubertus Prinz zu Löwenstein, Volkmar von Zühlsdorff",
,Der Krone Glanz und Last - Geschichten zur Geschichte,Georg Schreiber,
,Hitler's Defeat in Austria 1933-1934,Gottfried-Karl Kindermann,
,Deutsche Exilliteratur 1933-1950 (Band 2),Hans-Albert Walter,
,Hauptströmungen der Gegenwartsphilosophie 1,Wolfgang Stegmüller,
,Neues Handbuch der Deutsch-Sprachigen Gegenwarts-Literatur seit 1945,Dietz-Rüdiger Moser,
,Der Auftrag,"H.M. Enzensberger, V. Eismann",
,Das Niebelungen Lied,작자 미상,
,문화와 폭발,유리 로트만,
,Das Österreichische Deutsch,Peter Wiesinger,
,"Der Ingeborg-Bachmann-Preis - Börse, Show, Event",Doris Moser,
,Daten Deutscher Dichtung,"Herbert A. Frenzel, Elisabeth Frenzel",
,Internationale Politik - Transatlantic Edition,"Karl Kaiser, Hans-Peter Schwarz, Robert Cooper, Antony Polonsky, Dietrich von Kyaw, Heinrich August Winkler",
,외국문화연구 제2호 - 특집 :  한국문학과 유럽문학의 비교 연구,한국외국어대학교 외국학종합연구센터 외국문학연구소,
,외국문화연구 제3호 - 특집 :  동서문학에 나타난 페미니즘,한국외국어대학교 외국학종합연구센터 외국문학연구소,
,독일은 어떻게 유럽을 지배하는가 - 브렉시트와 EU 권력의 재편성,폴 레버,
,Roman der Medicus,Noah Gordon,
,Die deutsche Literatur im Dritten Bereich ,"Horst Denkler, Karl Prümm ",
,Die Bedrohung Berlins ,Hans Spieler ,
,Deutsche Geschichte ,Wilhelm Treue,
,Deutsche Sprachiehre Für die Studenten ,Kon-kuk Universitat ,
,Documents on Berlin 1943-1963,Wolfgang Heidemeyer ,
,Eine Welt für alle,Christian W. Troll ,
,Expressionismus ,"Vietta, Kemper ",
,Vom Reich zu Osterreich ,Jochen Jung ,
,Die Zeit der Deustchen Klassik ,Richard Benz ,
,Die Epochen der deutschen Geschichte ,Johannes Haller ,
,Die DDR,Eberhard Schneider ,
,Die geistige Entwicklung Wilhelm Raabes,Gerhart Mayer,
,Die improvisierte Demokratie,Th. Eschenburg,
,Die Geschichte Europas seit 1870,H. A. Clement,
,Das Fischer Lexikon – Geschichte,Waldemar Besson,
,Grundzüge der Geschichte der Habsburger-Monarchie und Österreichs,Ernst Joseph Görlich,
,Geschichte der Philosophie,Curt Friedlein,
,Geschichte der Philosophie,Curt Friedlein,
,Geschichte der Republik Österreich,Heinrich Benedikt,
,Geschichte und Ideologie,Reinhard Kühnl,
,Anfänge der bürgerlichen Geschichtsphilosophie / Hegel und das Problem der Metaphysik / Montaigne und die Funktion der Skepsis,Max Horkheimer,
,Gestalt und Rolle der Mutter im Roman des ausgehenden 19. und beginnenden 20. Jahrhunderts,Johannes Toth,
