call_number,title,author,status,language,location,category
b1-1_69229_17850_SP_de_1,Linguistische Probleme der Textanalyse,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_47874_17850_SP_de_1,Sprachsystem und Sprachgebrauch II,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_62194_17850_SP_de_1,Das Verb,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_02073_17850_SP_de_1,Studien zur Texttheorie und zur deutschen Grammatik,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_76941_17850_SP_de_1,Fragen der Strukturellen Syntax und der Kontrastiven Grammatik,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_12869_17850_SP_de_1,Das Substantiv,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_17978_97563_SP_de_1,Kleines Valenzlexikon deutscher Verben,Ulrich Englen / Helmut Schumacher,대출 가능,DE,B1-1,어학
b1-1_01755_18979_SP_de_1,ABRISS DER DEUTSCHEN GRAMMATIK,Johannes Erben,대출 가능,DE,B1-1,어학
b1-1_66865_86018_SP_de_1,Strukturale Textanalyse,Manfred Titzmann,대출 가능,DE,B1-1,어학
b1-1_20426_42603_SP_de_1,Wortbildung der deutschen Gegenwartssprache,Wolfgang Fleischer,대출 가능,DE,B1-1,어학
b1-1_50020_14075_SP_de_1,Terminologie zur neueren Linguistik,Werner Abraham,대출 가능,DE,B1-1,어학
b1-1_71602_38459_SP_de_1,Strukturelle Beschreibung des Deutschen,Otmar Werner,대출 가능,DE,B1-1,어학
b1-1_07633_24158_SP_de_1,Neuere Methoden der Semantik,Franz Hundsnurscher,대출 가능,DE,B1-1,어학
b1-1_78424_76187_SP_de_1,Wortbildung in der deutschen Gegenwartssprache,Bernd Naumann,대출 가능,DE,B1-1,어학
b1-1_12998_89880_SP_de_1,Formale Logik und Grammatik,Hans Juergen Heringer,대출 가능,DE,B1-1,어학
b1-1_33949_81166_SP_de_1,Kleine generative Syntax des Deutschen,Heinrich Weber,대출 가능,DE,B1-1,어학
b1-1_33949_81166_SP_de_2,Kleine generative Syntax des Deutschen,Heinrich Weber,대출 가능,DE,B1-1,어학
b1-1_95934_44424_SP_de_1,Probleme der Soziolinguistik,Ulrich Ammon,대출 가능,DE,B1-1,어학
b1-1_89001_37262_SP_de_1,Linguistische Propädeutik I.,"Karl-Heinz Goettert, Wolfgang Herrlitz",대출 가능,DE,B1-1,어학
b1-1_29304_37262_SP_de_1,Linguistische Propädeutik II.,"Karl-Heinz Goettert, Wolfgang Herrlitz",대출 가능,DE,B1-1,어학
b1-1_52856_96373_SP_de_1,Funktionale Satzperspektive,Hans-Werner Eroms,대출 가능,DE,B1-1,어학
b1-1_37572_47930_SP_de_1,Methoden der Sprach-und Literatur-wissenschaft,Manfred Geier,대출 가능,DE,B1-1,어학
b1-2_92772_84965_SP_de_1,Grammatik der deutschen Sprache,"Schulz, Griesbach",대출 가능,DE,B1-2,어학
b1-2_92772_84965_SP_de_2,Grammatik der deutschen Sprache,"Schulz, Griesbach",대출 가능,DE,B1-2,어학
b1-2_40221_86109_SZ_de_1,Allgemeines bürgerliches Gesetzbuch,Dr. Herbert Spehar,대출 가능,DE,B1-2,사회과학
b1-2_95559_17850_SP_de_1,Annalen der deutschen Sprache,Hugo Moser,대출 가능,DE,B1-2,어학
b1-2_43369_58751_L_de_1,Der implizite Leser,Wolfgang Iser,대출 가능,DE,B1-2,문학
b1-2_33039_91645_SP_de_1,Der andere Dialekt,Kyu-Hwa Chung,대출 가능,DE,B1-2,어학
b1-2_29493_39723_SP_en_1,Semiotica,Thomas A. Sebeok,대출 가능,EN,B1-2,어학
b1-2_09017_34433_SP_de_1,Die Sprache,John Lyons,대출 가능,DE,B1-2,어학
b1-2_86755_25326_SP_de_1,Einführung in die Grammatik und Orthographie der deutschen Gegenwartssprache,K. E. Sommerfeldt,대출 가능,DE,B1-2,어학
b1-2_29561_24886_SP_de_1,Die Deutsche Sprache,R. E. Keller,대출 가능,DE,B1-2,어학
b1-2_25892_24304_SP_de_1,Zeitung Deutsch,Kwang-Yo Kim / Yoo-Yung Lee,대출 가능,DE,B1-2,어학
b1-2_25892_24304_SP_de_2,Zeitung Deutsch,Kwang-Yo Kim / Yoo-Yung Lee,대출 가능,DE,B1-2,어학
b1-2_40525_41072_SP_de_1,ABC der schwachen Verben,Klaere Meil / Margit Arndt,대출 가능,DE,B1-2,어학
b1-2_90716_41072_SP_de_1,ABC der starken Verben,Klaere Meil / Margit Arndt,대출 가능,DE,B1-2,어학
b1-2_61990_25896_SP_de_1,Poetik und Linguistik,Rolf Kloepfer,대출 가능,DE,B1-2,어학
b1-2_36541_39076_SP_de_1,"Grammatik, Semantik, Textlinguistik",Wilfried Kuerschner / Rüdiger Vogt,대출 가능,DE,B1-2,어학
b1-2_02924_83023_SP_de_1,Differentielle Linguistik,Wolfgang Wildgen,대출 가능,DE,B1-2,어학
b1-2_64264_69109_SP_de_1,Perspektive: textintern Band 1,Edda Weigand / Gerhard Tschauder,대출 가능,DE,B1-2,어학
b1-2_35166_69109_SP_de_1,Perspektive: textintern Band 2,Edda Weigand / Gerhard Tschauder,대출 가능,DE,B1-2,어학
b1-2_31665_50390_SP_de_1,Sprachvariation und Sprachwandel,P. Sture Ureland,대출 가능,DE,B1-2,어학
b1-2_25683_79745_SP_de_1,Orientierung zur Textlinguistik,Hartwig Kalverkaemper,대출 가능,DE,B1-2,어학
b1-2_39008_17792_SP_de_1,"Variabilität, Polysemie und Unschärfe der Wortbedeutung",Edgar W. Schneider,대출 가능,DE,B1-2,어학
b1-2_14970_70620_SP_de_1,Linguistisches Wörterbuch 1,Theodor Lewandowski,대출 가능,DE,B1-2,어학
b1-2_01522_70620_SP_de_1,Linguistisches Wörterbuch 2,Theodor Lewandowski,대출 가능,DE,B1-2,어학
b1-2_83854_70620_SP_de_1,Linguistisches Wörterbuch 3,Theodor Lewandowski,대출 가능,DE,B1-2,어학
b1-2_49300_28200_S_de_1,Deutsche Akademie für Sprache und Dichtung,D/A,대출 가능,DE,B1-2,기타
b1-2_01271_10378_SP_de_1,Grundzüge der Allgemeinen Sprachwissenschaft,Andre Martinet,대출 가능,DE,B1-2,어학
b1-2_12424_17850_SP_de_1,Das Ringen um eine neue deutsche Grammatik,Hugo Moser,대출 가능,DE,B1-2,어학
b1-2_91908_95443_SP_de_1,Muttersprache 1983/1984,Prof. Dr. Guenther Pflug,대출 가능,DE,B1-2,어학
b1-2_72696_95443_SP_de_1,Muttersprache 1984/1985,Prof. Dr. Guenther Pflug,대출 가능,DE,B1-2,어학
b1-2_18981_95443_SP_de_1,Muttersprache 1986,Prof. Dr. Guenther Pflug,대출 가능,DE,B1-2,어학
b1-2_52464_95443_SP_de_1,Muttersprache 1987,Prof. Dr. Guenther Pflug,대출 가능,DE,B1-2,어학
b1-2_97444_95443_SP_de_1,Muttersprache 1988/1989,Prof. Dr. Guenther Pflug,대출 가능,DE,B1-2,어학
b1-2_36945_89691_SP_de_1,Mittelhochdeutsche Grammatik,Paul / Moser / Schroebler,대출 가능,DE,B1-2,어학
b1-2_08262_31083_SP_de_1,Textkompetenz,Paul R. Portmann-Tselikas,대출 가능,DE,B1-2,어학
b1-2_51066_25500_SP_de_1,Die Partikeln der deutschen Sprache,Herald Weydt,대출 가능,DE,B1-2,어학
b1-2_51066_25500_SP_de_2,Die Partikeln der deutschen Sprache,Herald Weydt,대출 가능,DE,B1-2,어학
b1-2_74140_09045_SP_de_1,Geschichte der deutschen Sprache,Peter von Polenz,대출 가능,DE,B1-2,어학
b1-2_79653_09045_SP_de_1,Deutsche Satzsemantik,Peter von Polenz,대출 가능,DE,B1-2,어학
b1-2_46051_09045_SP_de_1,Deutsche Sprachgeschichte,Peter von Polenz,대출 가능,DE,B1-2,어학
b1-2_85309_42339_SP_de_1,Deutsche Wortbildung - Vierter Hauptteil,"Lorelies Ortner, Hildegard Gaertner",대출 가능,DE,B1-2,어학
b1-2_31084_83787_SP_de_1,Deutsche Wortbildung - Fünfter Hauptteil,"Maria Pümpel-Mader; .""",대출 가능,DE,B1-2,어학
b1-3_85646_78451_SP_de_1,Sprachpragmatik,Helmut Henne,대출 가능,DE,B1-3,어학
b1-3_85646_78451_SP_de_2,Sprachpragmatik,Helmut Henne,대출 가능,DE,B1-3,어학
b1-3_03798_87551_SP_de_2,Sprechen und Situation,Klaus Bayer,대출 가능,DE,B1-3,어학
b1-3_41073_73481_SP_de_1,Der Grundwortschatz,Peter Kühn,대출 가능,DE,B1-3,어학
b1-3_85142_37451_SP_de_1,Referenzsemantik,Rainer Wimmer,대출 가능,DE,B1-3,어학
b1-3_31984_10643_SP_de_1,Ansätze zu einer pragmatischen Sprachgeschichte,Horst Sitta,대출 가능,DE,B1-3,어학
b1-3_02522_13809_SP_de_1,Fehlerlinguistik,Dieter Cherubim,대출 가능,DE,B1-3,어학
b1-3_41189_82435_SP_de_1,Indirektheit von Sprechhandlungen,Werner Soekeland,대출 가능,DE,B1-3,어학
b1-3_41189_82435_SP_de_2,Indirektheit von Sprechhandlungen,Werner Soekeland,대출 가능,DE,B1-3,어학
b1-3_31167_90252_SP_de_1,Sprechakte und Sprachfunktionen,Goetz Beck,대출 가능,DE,B1-3,어학
b1-3_31167_90252_SP_de_2,Sprechakte und Sprachfunktionen,Goetz Beck,대출 가능,DE,B1-3,어학
b1-3_55182_67478_SP_de_1,Textfunktionen des Passivs,Sabine Pape-Müller,대출 가능,DE,B1-3,어학
b1-3_19962_20968_SP_de_1,Textklassenkonzepte heutiger Alltagssprache,Matthias Dimter,대출 가능,DE,B1-3,어학
b1-3_01344_07441_SP_de_1,Einführung in die Dependenzgrammatik,Kalevi Tarvainen,대출 가능,DE,B1-3,어학
b1-3_09246_94991_SP_de_1,Valenztheorie und historische Sprachwissenschaft,Albrecht Greule,대출 가능,DE,B1-3,어학
b1-3_09246_94991_SP_de_2,Valenztheorie und historische Sprachwissenschaft,Albrecht Greule,대출 가능,DE,B1-3,어학
b1-3_87137_08138_SP_de_1,Der Satz,Beat Louis Müller,대출 가능,DE,B1-3,어학
b1-3_06926_85484_SP_de_1,Funktion und Geschichte deutscher Partikeln,Elke Hentschel,대출 가능,DE,B1-3,어학
b1-3_82794_22718_SP_de_1,Schreiben und Lernen,Paul R. Portmann,대출 가능,DE,B1-3,어학
b1-3_79908_94353_S_de_1,Festschrift,Rudolf Strasser,대출 가능,DE,B1-3,기타
b1-3_15848_19707_SP_de_1,Stilistik,Barbara Sandig,대출 가능,DE,B1-3,어학
b1-3_99791_55038_SP_de_1,Grundfragen der Allgemeinen Sprachwissenschaft,Ferdinand De Saussure,대출 가능,DE,B1-3,어학
b1-3_39008_17792_SP_de_2,"Variabilität, Polysemie und Unschärfe der Wortbedeutung",Edgar W. Schneider,대출 가능,DE,B1-3,어학
b1-3_08144_60308_SP_kr_1,언어기호론,Peter Schmiter,대출 가능,KR,B1-3,어학
b1-3_76653_28628_SP_de_1,Kommunikation und Sprachvariation,"Wolfdietrich Hartung, Helmut Schoenfeld",대출 가능,DE,B1-3,어학
b1-3_38557_94386_SP_de_1,Grundzüge der deutschen Wortbildung,"M. D. Stepanowa, W. Fleischer",대출 가능,DE,B1-3,어학
b1-3_04190_66300_SP_de_1,Übersetzungstheorien,Radegundis Stolze,대출 가능,DE,B1-3,어학
b1-3_90587_64968_SP_de_1,Theorien vom Ursprung der Sprache I,"Joachim Gessinger, Wolfert von Rahden",대출 가능,DE,B1-3,어학
b1-3_05995_64968_SP_de_1,Theorien vom Ursprung der Sprache II,"Joachim Gessinger, Wolfert von Rahden",대출 가능,DE,B1-3,어학
b1-3_53272_20246_SP_de_1,Sprachgeschichte 2.1,"Werner Besch, Oskar Reichmann",대출 가능,DE,B1-3,어학
b1-3_75065_20246_SP_de_1,Sprachgeschichte 2.2,"Werner Besch, Oskar Reichmann",대출 가능,DE,B1-3,어학
b1-3_35456_39026_SP_de_1,Sprachwissenschaft,Hans Helmut Christmann,대출 가능,DE,B1-3,어학
b1-3_28479_58691_SP_de_1,Etymologie,Rüdiger Schmitt,대출 가능,DE,B1-3,어학
b1-3_11439_79197_SP_de_1,Übersetzungswissenschaft,Wolfram Wilss,대출 가능,DE,B1-3,어학
b1-3_84089_55439_SP_de_1,Wortbildung,"Leonhard Lipka, Hartmut Günther",대출 가능,DE,B1-3,어학
b1-3_61499_04061_SP_de_1,Soziolinguistik,Hugo Steger,대출 가능,DE,B1-3,어학
b1-3_19812_04061_SP_de_1,Anwendungsbereiche der Soziolinguistik,Hugo Steger,대출 가능,DE,B1-3,어학
b1-3_35340_89134_SP_de_1,Wortfeldforschung,Lothar Schmidt,대출 가능,DE,B1-3,어학
b1-4_31826_25002_SP_de_1,Deutsch als Fremd- und Zweitsprache Band 1,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_65693_25002_SP_de_1,Deutsch als Fremd- und Zweitsprache Band 2,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_74579_53166_SP_de_1,Deutsch als Fremdsprache,Henrici/Koreik,대출 가능,DE,B1-4,어학
b1-4_49610_25002_SP_de_1,2/1998 Schwerpunkt: Deutsch zwischen den Kulturen,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_37010_25002_SP_de_1,4/2000 Schwerpunkt: (Kindlicher) Fremdsprachenerwerb,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_44326_25002_SP_de_1,5/2001 Schwerpunkt: Das Auslandslektorat,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_50874_25002_SP_de_1,7/2003 Schwerpunkt: Lernen im Beruf,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_03230_25002_SP_de_1,9/2005 Schwerpunkt: Innovationen - Neue Wege im Deutschunterricht,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_48194_25002_SP_de_1,11/2007 Schwerpunkt: Wortschatz,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_70134_25002_SP_de_1,8/2004 Schwerpunkt: Kultur und Konflikt im Unterricht,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_66324_25002_S_de_1,Jahrbuch 1997,Hans-Jürgen Krumm,대출 가능,DE,B1-4,기타
b1-4_28212_02964_SP_de_1,Lernpsychologie und Mnemotechniken beim Fremdsprachenlernen,Agnieszka Brzezińska,대출 가능,DE,B1-4,어학
b1-4_38896_25002_SP_de_1,14/2010 Schwerpunkt: Mehrsprachigkeit und Sprachförderung Deutsch,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_03779_35899_L_de_1,"Aber biografisch, das bin ich selbst!",Doris Reininger,대출 가능,DE,B1-4,문학
b1-4_17987_46087_SP_de_1,Wir müssen zusammen schreiben!,Renate Falstauer,대출 가능,DE,B1-4,어학
b1-4_78171_25002_SP_de_1,10/2006 Schwerpunkt: Aufgaben,Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_64557_25002_SP_de_1,"13/2009 Schwerpunkt: Lesen, Prozesse, Kompetenzen, Förderung",Hans-Jürgen Krumm,대출 가능,DE,B1-4,어학
b1-4_93230_87412_SZ_de_1,Pädagogische Interaktion und interkulturelles Lernen im Deutschunterricht,Shinji Nakagawa,대출 가능,DE,B1-4,사회과학
b1-4_91585_65292_SP_de_1,Zur Reform der deutschen Rechtschreibung,"Christian Meier, Peter Eisenberg",대출 가능,DE,B1-4,어학
b1-4_65832_30395_L_de_1,Schreibweisen Poetologien 2,Hilde Kerinmayer,대출 가능,DE,B1-4,문학
b1-4_19126_53403_SP_de_1,Einführung in die germanistische Linguistik,Jörg Melbauer u.a.,대출 가능,DE,B1-4,어학
b1-4_26138_43948_S_it_1,Nuova Antologia,Giovanni Spadolini,대출 가능,IT,B1-4,기타
b1-4_27976_41933_SP_de_1,Wir lesen Deutsch,"Schroeder, Kirchhoff",대출 가능,DE,B1-4,어학
b1-4_95973_33094_SZ_de_1,Ruhe Ordnung Sicherheit,Andreas Hauer,대출 가능,DE,B1-4,사회과학
b1-4_38414_86566_SP_kr_1,Koreanische Übersetzungen aus der deutschen Sprache,Cho Haw Kyong,대출 가능,KR,B1-4,어학
b1-4_02857_59116_SP_de_1,Sprache in Not?,Christian Meier,대출 가능,DE,B1-4,어학
b1-4_69161_63920_SP_de_1,Die neue Schulgrammatik,Hans Piuk,대출 가능,DE,B1-4,어학
b1-4_74579_60832_SP_de_1,Deutsch als Fremdsprache,Michaela Hueber,대출 가능,DE,B1-4,어학
b1-4_98564_60832_SP_de_1,Deutsch als Fremdsprache Programm 2001,Michaela Hueber,대출 가능,DE,B1-4,어학
b1-4_82479_60832_SP_de_1,Deutsch als Fremdsprache Programm 2006,Michaela Hueber,대출 가능,DE,B1-4,어학
b1-4_48521_41766_SP_de_1,Deutsch als Fremdsprache Programm 2007,Andreas Langenscheidt,대출 가능,DE,B1-4,어학
b1-4_74579_84786_SP_de_1,Deutsch als Fremdsprache,"Gert Henrici, Uwe Koreik",대출 가능,DE,B1-4,어학
b1-4_28749_45746_SP_de_1,Deutsch als Fremdsprache Teil 1,"Sigbert Latzel, Wolf Dieter Ortmann",대출 가능,DE,B1-4,어학
b1-4_11678_33638_SP_de_1,Wirtschaftskommunikation Band 9,Bernd-Dietrich Müller,대출 가능,DE,B1-4,어학
