call_number,title,author,status,language,location,category
c17-3_87801_61002_L_de_1,Die kleinen Formen des frühen Lessing - eine Untersuchung ihres Strukturzusammenhangs - Philosophische Dissertation angenommen von der Neuphilologischen Fakultät der Universität Tübingen am 8. Juli 1991,Mi-Hyun An,AVAILABLE,DE,C17-3,문학
c17-3_64716_60519_L_de_1,Rilkes Poetik des ´neuen´ Sehens in den Aufzeichungen des Malte Laurids Brigge und in den Neuen Gedichten,In-Ok Paek,AVAILABLE,DE,C17-3,문학
c17-3_38928_76312_SP_de_1,"Valenz und Wortbildung - Dargestellt am Beispiel der verbalen Präfixbildung mit be-. ent-, er-, miß-, ver-, zer-",Gyung-Uk Kim,AVAILABLE,DE,C17-3,어학
c17-3_56635_47566_SP_de_1,Europäische Hochschulschriften - Interaktion und Zweitsprachenerwerb - Eine empirische Untersuchung von Verständigungsproblemen am Beispiel der NMS-MS-Kommunikation aus der Perspektive des Spracherwerbs,Ok-seon Kim,AVAILABLE,DE,C17-3,어학
c17-3_38626_89998_L_de_1,"Johann Peter Hebels Kalendergeschichten - Eine Studie über Heimat und Geschichte, Religion und Sittlichkeit im ,,Herausfreund´´ - Inaugural-Dissertation zur Erlangung des Doktorgrades der Philosophischen Fakultät der Universität zu Köln","Tschang Bok Rhie aus Kongzu, Korea",AVAILABLE,DE,C17-3,문학
c17-3_41413_64608_SZ_de_1,DIE GRENZEN DER GRAMMATIK - Inaugural-Dissertation zur Erlangung der Doktorwürde der Philosophischen Fakultät der Rheinischen Friedrich-Wilhelms-Universität zu Bonn,CHONG IN HOANG aus YONGIN (Korea),AVAILABLE,DE,C17-3,사회과학
c17-3_06792_86384_L_de_1,Europäische Hochschulschriften - Probleme der Literaturgechichtsschreibung,Young-Kyun Ra,AVAILABLE,DE,C17-3,문학
c17-3_11281_71995_L_de_1,Untersuchungen zum CHINA-BILD der MUSLIME in der frühislamischen Literatur - Inaugural-Dissertation zur Erlangung des Grades eines Doktors der Philosophie in der Abteilung für Philisophie der Ruhr-Universität Bochum,"Jong-Wee Kim aus Kyung-Su, Korea",AVAILABLE,DE,C17-3,문학
c17-3_83220_63349_L_de_1,"Europäische Hochschulschriften - Dichtung als ,,Heimkehr´´ - Manifestationsformen des Weiblichen in der Lyrik Paul Celans",Yeo-Mae Je,AVAILABLE,DE,C17-3,문학
c17-3_13316_80376_G_de_1,"Volkstümlichkeit und Realismus - Untersuchungen zu Geschichte, Motiven und Typologien der Erzähgattung Dorfgeschichte",Du Gyu Kim,AVAILABLE,DE,C17-3,역사
c17-3_36364_90767_SP_de_1,Romanistik 64 - ROMANIA ORIENTALIS - Zur Entstehung des Rumänischen,Mun-Suh Lee,AVAILABLE,DE,C17-3,어학
c17-3_52401_01045_L_de_1,DIE ENTWICKLUNGSGESCHICHTE DES DEUTSCHSPRACHIGEN BILDERBUCHES IM 20. JAHRHUNDERT - Eine Untersuchung der Konstitution der Welt im Bilderbuch und der Versuch ihrer kunst- und sozialgeshichtlichen Einordnung - Dissertation zur Erlangung des Doktorgrades der Philosphischen Fakultät der Georg-August-Universität zu Göttingen,Ulrich Hann aus Lauterbach in Hessen,AVAILABLE,DE,C17-3,문학
c17-3_72203_03313_L_de_1,WECHSELwirkungen 13 - Von aussen betrachtet - Österreich und die österreichischen Literatur im Spiegel der Auslandesrezeption,"Anthony Bushell, Dagmar Košťálová",AVAILABLE,DE,C17-3,문학
c17-3_95819_24213_L_de_1,"WANDERER IN ABSURDISTAN - NOVALIS, NIETSCHE, BECKETT, BERNHARD UND DER GANZE REST - EINE UNTERSUCHUNG ZUR ERSCHEINUNG DES ABSURDEN IN PROSA",NORBERT W. SCHLINKERT,AVAILABLE,DE,C17-3,문학
c17-3_14231_29736_G_de_1,"Fragen an die deutsche Geschichte - Ideen, Kräfte, Entscheidungen - Von 1800 bis zur Gegenwart - English Edition",Deutscher Bundestag,AVAILABLE,DE,C17-3,역사
c17-3_98257_29736_G_de_1,"Fragen an die deutsche Geschichte - Ideen, Kräfte, Entscheidungen - Von 1800 bis zur Gegenwart",Deutscher Bundestag,AVAILABLE,DE,C17-3,역사
c17-3_23672_15289_L_de_1,"WOLFGANG BAUER MEDIOGRAPHIE 1961-2011 - Bibliographie, Szenographie, Audiographie, Filmographie",Thomas Antonic,AVAILABLE,DE,C17-3,문학
c17-3_17290_29957_L_de_1,Biographie Hanser - SCHILLER oder Die Erdingung des Deutschen Idealismus,RÜDIGER SAFRANSKI,AVAILABLE,DE,C17-3,문학
c17-3_74178_68936_SZ_kr_1,독일 통일 한국 통일 - 독일 통일에서 찾는 한반도 통일의 길,손선홍,AVAILABLE,KR,C17-3,사회과학
c17-3_69240_95779_SZ_de_1,Willy Brandt - Über den Tag hinaus,Willy Brandt,AVAILABLE,DE,C17-3,사회과학
c17-3_10834_78961_L_kr_1,장면 구성과 인물 창조를 위한 희곡 읽기 - 한국드라마학회 편,한국드라마학회,AVAILABLE,KR,C17-3,문학
c17-3_08089_96200_L_kr_1,독일 연극사 - 근세부터 현대까지 / Deutsche Theatergeschichte - Von den Anfängen bis zur Gegenwart,이원양,AVAILABLE,KR,C17-3,문학
c17-1_76260_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 73. BAND 4. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_78289_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 74. BAND 1. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_78898_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 74. BAND 2. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_85301_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 74. BAND 3. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_36650_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 74. BAND 4. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_35689_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 75. BAND 1. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_73246_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 69. BAND 3. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_95381_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 69. BAND 4. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_00062_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 70. BAND 1. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_19753_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 70. BAND 2. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_53311_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 73. BAND 1. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_68693_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 72. BAND 4. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_65158_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 72. BAND 2./3. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_07879_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 72. BAND 1. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_77942_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 71. BAND 4. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_59915_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 71. BAND 3. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_39130_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 71. BAND 2. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_50514_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 71. BAND 1. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_79877_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 70. BAND 4. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_85430_43528_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 84. BAND 4. HEFT,"RAINER GRUENTER, ARTHUR HENKEL",AVAILABLE,DE,C17-1,문학
c17-1_77523_83949_L_de_1,EUPHORION - ZEITSCHRIFT FÜR LITERATURGESCHICHTE 85. BAND 1. HEFT,RAINER GRUENTER,AVAILABLE,DE,C17-1,문학
